nom groupe ssgroupe Energie EnergiePredite Eau Proteines Glucides Lipides Sucres Fibres Polyols Alcool AcidesOrganiques Calcium Cuivre Fer Magnesium Manganese Phosphore Potassium Zinc VitamineC
"Avocat, pulpe, cru" légumes "légumes crus" 205 209.71103414882444 70.3 1.56 0.83 20.6 0.4 3.6 NA 0 1.02 9.4 0.18 0.34 21 0.2 38 430 0.43 NA
"Champignon, tout type, cru" légumes "légumes crus" 21.7 25.77386354697488 92.6 2.37 1.88 0.23 1.43 1.72 0.45 0 NA 7.78 0.32 0.69 10.9 0.061 85.6 341 0.65 3.4
"Salade ou chicorée frisée, crue" légumes "légumes crus" NA 23.59531662830103 92.9 1.48 2.4 0.25 0.7 2.45 NA 0 NA 76 0.2 0.85 22.5 0.42 37.5 367 0.61 18.5
"Chou-fleur, cru" légumes "légumes crus" 26.2 28.414549538576757 92.9 1.81 2.13 0.7 1.7 2.2 NA 0 0.046 23 0.02 0.27 9.8 0.14 40 270 0.22 4.14
"Concombre, pulpe et peau, cru" légumes "légumes crus" 15.6 18.676282481622014 96 0.64 2.54 0.11 1.67 0.6 0.039 0 0.26 19.2 0.026 0.13 13.6 0.085 24.7 157 0.095 8.25
"Courgette, pulpe et peau, crue" légumes "légumes crus" 16.5 20.121079572564682 94.7 1.23 1.8 0.26 1.79 1.05 0.014 0 NA 18.7 0.052 0.36 17.5 0.18 44.7 262 0.31 17.5
"Cresson de fontaine, cru" légumes "légumes crus" NA 19.824318097079765 94.6 2.09 0.9 0.15 0.2 0.85 NA 0 NA 101 0.11 0.9 19 0.37 64.2 320 0.16 51.5
"Laitue, crue" légumes "légumes crus" NA 18.071655058478523 95.3 1.3 1.33 0.2 0.73 1.2 NA 0 0.13 64.6 0.036 0.98 14.9 0.4 29.5 200 0.2 11.8
"Oignon, cru" légumes "légumes crus" NA 40.19209155062051 89.6 1.1 6.25 0.62 4.8 1.7 NA 0 0.21 25 NA 1.9e-4 9 0.1 37 190 0.23 3.9
"Pissenlit, cru" légumes "légumes crus" NA 50.70613221332205 85.3 2.91 6.1 0.85 0.71 2.7 NA 0 NA 62.3 0.067 3.1 13.2 0.16 66 397 0.21 37.5
